Country Name,Country Code,FP.CPI.TOTL,IC.REG.COST.PC.ZS,BN.CAB.XOKA.GD.ZS,FS.AST.PRVT.GD.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,NE.EXP.GNFS.ZS,SP.DYN.TFRT.IN,BX.KLT.DINV.WD.GD.ZS,BM.KLT.DINV.WD.GD.ZS,NY.GDP.MKTP.CD,NY.GNP.PCAP.KD,NY.GNS.ICTR.ZS,HD.HCI.OVRL,IT.NET.USER.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SP.DYN.LE00.FE.IN,TX.MNF.TECH.ZS.UN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SP.DYN.IMRT.IN,SP.POP.65UP.TO.ZS,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SN.ITK.SVFI.ZS,GC.TAX.TOTL.GD.ZS,SL.UEM.TOTL.ZS
Russian Federation,RUS,173.015822116403,1.1,6.81204312186227,50.8672245712494,5.88299989700317,26.8080005645752,30.5167944826321,1.57,0.526170279046274,1.87932425769381,1669583089322.96,11548.7291706943,29.9198350993237,0.728950440883636,80.44892248,21.6671009063721,69.6298980712891,77.81,26.0829029797965,3.92951108949691,157.431312,5.4,14.6747083203719,8.82206795315588,-0.013066892402889,53.6617623581325,0.8,11.3845957549298,4.84600019454956
Saudi Arabia,SAU,120.93132112752,6.6,8.9770455860268,NaN,2.51999998092651,24.7900009155273,39.9024873870571,2.319,0.539983045406648,2.92265815774224,786521831573.333,20990.5417378307,33.1516198912031,0.580753028392792,79.7499766,NaN,NaN,76.615,58.9865991670318,8.77471912659104,122.5733112,6,3.31408802294981,15.6766543082956,1.79887529985771,42.445847976176,NaN,8.92574503531601,6.03999996185303
Slovak Republic,SVK,112.345473695881,1,-2.60856415674531,61.9014659379543,2.29299998283386,36.515998840332,96.2155843141011,1.54,2.41154901697976,1.54243671794078,105820499976.721,NaN,22.1863457064999,0.680050134658813,NaN,21.8190994262695,65.4570007324219,80.8,71.2989795042612,1.20523821388528,132.801823,4.8,15.629246504777,113.285586522463,0.138508159611326,51.3383325230785,0.8,18.7019735205627,6.53599977493286
Slovenia,SVN,109.269412439853,0,5.687572466713,43.4225965961062,5.48099994659424,33.3489990234375,84.7678598235663,1.6,2.8201628978546,0.806423805117754,54034358544.2622,26261.733043749,27.2878416936438,0.7886883020401,86.10723553,27.00950050354,61.0189018249512,84.4,63.7174260134267,0.974192235140298,118.6742271,1.7,19.6068796541788,102.96366052404,0.362584395134764,50.2452070327013,0,18.6269979669179,5.10799980163574
South Africa,ZAF,152.632824517809,0.2,-3.63411283247239,138.787123101268,5.16699981689453,23.1469993591309,29.9070826047072,2.405,1.5122534914178,1.09342450263511,368288939768.322,7193.75873602371,14.8822605639138,0.422549337148666,NaN,47.4424018859863,68.2697982788086,67.398,46.5733434524136,0.981709721430103,159.9306644,27.8,5.31800500542302,47.6301197767684,1.35769728766652,50.6941503848595,0,27.4652179666128,26.9200000762939
Spain,ESP,110.190695194176,4,1.92336082858352,99.6586238648869,4.2039999961853,20.3330001831055,35.1166576414935,1.26,3.45658121916481,2.1457955953427,1419735245004.71,32974.8035228976,22.3125999736282,0.736156404018402,71.04276107,48.2332992553711,65.5979995727539,86.3,55.3251092205194,1.27309096099574,115.9942148,2.6,19.3785075224995,93.6771974435832,0.437982993728698,50.8966413132559,1.8,14.2482113936781,15.2550001144409
Sweden,SWE,108.572129146727,0.5,1.73994233224452,131.871716498499,1.69900000095367,18.1520004272461,45.6830615126713,1.76,-0.327715183358937,2.05468009285903,555455371487.089,58850.0212473337,28.4384306480387,0.802509963512421,90.69200899,49.2673988342285,76.5362014770508,84.3,59.7481785677841,1.04291444103842,126.8307474,2.2,20.0955249278002,24.9814981218237,1.16164515996039,49.9457761669857,1.2,27.9110313223727,6.34600019454956
Turkey,TUR,203.545403587444,10.6,-2.68943943578552,68.027636251139,18.4309997558594,26.6639995574951,29.5301044015302,2.069,1.68833790177078,0.473066498008261,771350331372.711,14841.882758819,27.0467038833769,0.625309884548187,88.49890317,51.046501159668,60.276798248291,80.336,44.4607527035354,2.50435660854,97.30132788,9.2,8.4832129399716,106.960128893104,1.49044486780679,50.6778132013215,NaN,17.875925373469,10.8900003433228
United Kingdom,GBR,117.579064176068,0,-3.85333178715092,134.471091785493,1.07000005245209,18.1259994506836,30.6149687730844,1.68,2.83706174602294,1.97143735505228,2860667727551.97,42741.4513823613,13.3202241013665,0.776982247829437,,60.5234985351563,74.5802001953125,83.1,68.7300161592741,1.78220538089607,118.3651292,3.7,18.3958656741466,274.708981936924,0.605929132212552,50.6352745607579,1.3,25.5052921600669,3.99600005149841
United States,USA,115.157303224791,1,-2.39168894683858,180.042010665336,1.36899995803833,19.8719997406006,12.2277947636546,1.7295,1.25865546817278,-0.382170646739283,20529049174601.5,56760.6817767415,18.5935645023564,0.713683247566223,,41.9889984130859,57.2184982299805,81.1,62.3073495760536,3.16286487973421,129.0140075,5.6,15.8076540556035,35.7136220923495,0.522337357899676,50.5200146539124,0.8,9.63976355246085,3.89599990844727
